BioWare Version 5.3.2.9 Export
Device:	Kistler Grande1 9286BA	Kistler Grande1 9286BA
Samples (#):	70000	70000
Rate (Hz):	1000.000000	1000.000000
Contact period start (sample #):	0	0
Contact period end (sample #):	69999	69999
Contact period start time (s):	0.000000	0.000000
Contact period end time (s):	69.999001	69.999001
First sample time (s):	0.000000	0.000000
Normalized force (N):	1.000000	1.000000
Normalized length (m):	1.000000	1.000000
File Information
Date	Jan 25, 2018  11:14:02
Name	
ID	
Classification	
Description	
abs time (s)	Ax	Ay
	m	m
0.598000	-0.019422	0.042398
0.599000	-0.019424	0.042382
0.600000	-0.019399	0.042341
0.601000	-0.019386	0.042353
0.602000	-0.019393	0.042354
0.603000	-0.019399	0.042394
0.604000	-0.019383	0.042370
0.605000	-0.019380	0.042361
0.606000	-0.019361	0.042386
0.607000	-0.019336	0.042342
0.608000	-0.019354	0.042370
0.609000	-0.019324	0.042366
0.610000	-0.019323	0.042350
0.611000	-0.019303	0.042373
0.612000	-0.019340	0.042380
0.613000	-0.019307	0.042367
0.614000	-0.019310	0.042356
0.615000	-0.019282	0.042309
0.616000	-0.019274	0.042334
0.617000	-0.019259	0.042309
0.618000	-0.019247	0.042327
0.619000	-0.019256	0.042342
0.620000	-0.019244	0.042326
0.621000	-0.019247	0.042327
0.622000	-0.019232	0.042314
0.623000	-0.019213	0.042325
0.624000	-0.019212	0.042278
0.625000	-0.019208	0.042299
0.626000	-0.019194	0.042297
0.627000	-0.019167	0.042299
0.628000	-0.019173	0.042312
0.629000	-0.019170	0.042308
0.630000	-0.019166	0.042311
0.631000	-0.019143	0.042278
0.632000	-0.019134	0.042272
0.633000	-0.019115	0.042258
0.634000	-0.019114	0.042275
0.635000	-0.019094	0.042278
0.636000	-0.019087	0.042253
0.637000	-0.019091	0.042253
0.638000	-0.019059	0.042252
0.639000	-0.019037	0.042264
0.640000	-0.019031	0.042248
0.641000	-0.019036	0.042262
0.642000	-0.019015	0.042231
0.643000	-0.019003	0.042236
0.644000	-0.018997	0.042242
0.645000	-0.018981	0.042235
0.646000	-0.018990	0.042201
0.647000	-0.018948	0.042195
0.648000	-0.018945	0.042172
0.649000	-0.018922	0.042152
0.650000	-0.018951	0.042161
0.651000	-0.018904	0.042179
0.652000	-0.018909	0.042164
0.653000	-0.018893	0.042171
0.654000	-0.018889	0.042150
0.655000	-0.018882	0.042155
0.656000	-0.018873	0.042146
0.657000	-0.018865	0.042120
0.658000	-0.018853	0.042140
0.659000	-0.018862	0.042137
0.660000	-0.018852	0.042158
