RI	RS	VM	VL
252.1059390584607	117.64943822728168	873.9672554026638	201.68475124676857
50.42118781169214	252.1059390584607	1260.5296952923036	-336.14125207794757
-168.07062603897378	100.84237562338429	3916.0455867080896	-285.72006426625546
-352.948314681845	-33.61412520779476	-1546.249759558559	84.03531301948689
-403.36950249353714	-100.84237562338429	-3495.869021610655	420.17656509743455
-252.1059390584607	-84.03531301948689	-4151.344463162653	50.42118781169214
-100.84237562338429	-285.72006426625546	-2134.4969506949674	218.49181385066595
84.03531301948689	-386.56243988963973	-1344.5650083117903	235.29887645456336
168.07062603897378	-453.7906903052293	1193.301444876714	-235.29887645456336
16.80706260389738	-302.5271268701528	2084.0757628832753	-252.1059390584607
-252.1059390584607	-369.7553772857424	5680.787160117315	890.7743180065611
-386.56243988963973	-319.3341894740502	6588.3685407277735	1008.4237562338428
-336.14125207794757	-151.2635634350764	5378.260033247161	1310.9508831039957
-352.948314681845	-100.84237562338429	5210.189407208189	1462.214446539072
-134.45650083117903	33.61412520779476	3832.0102736886024	151.2635634350764
369.7553772857424	134.45650083117903	2437.02407756512	-386.56243988963973
1042.0378814416376	302.5271268701528	1243.722632688406	-739.5107545714848
1613.4780099741486	537.8260033247161	1176.4943822728167	-773.1248797792795
1714.3203855975325	722.7036919675874	-2840.3935800586573	-756.3178171753822
1142.8802570650219	739.5107545714848	-4924.469342941932	-756.3178171753822
218.49181385066595	168.07062603897378	-3966.4667745197817	722.7036919675874
-756.3178171753822	33.61412520779476	-655.4754415519978	739.5107545714848
-1243.722632688406	-16.80706260389738	823.5460675909717	1058.844944045535
-1361.3720709156878	-369.7553772857424	-3764.7820232730137	1949.619262052096
-1428.6003213312774	-705.89662936369	-6218.613163442031	168.07062603897378
-1378.179133519585	-655.4754415519978	-5159.768219396496	-1344.5650083117903
-958.0025684221506	-504.2118781169214	-3563.0972720262444	-1630.2850725780459
-151.2635634350764	-302.5271268701528	-2991.657143493734	-722.7036919675874
184.8776886428712	-168.07062603897378	-1579.8638847663537	117.64943822728168
403.36950249353714	-84.03531301948689	1378.179133519585	-151.2635634350764
487.404815513024	-50.42118781169214	2033.6545750715832	0.0
420.17656509743455	184.8776886428712	3546.2902094223473	-184.8776886428712
268.91300166235806	252.1059390584607	4554.71396565619	-100.84237562338429
0.0	100.84237562338429	3596.7113972340394	-151.2635634350764
